companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Enterprise State of the Art Software,NA,Software Engineer Internship / Trainees /Freshers (Only Female candidates),Chennai,"Only Female candidates No work experience required, free professional training and mentorship for the right aspirants Any degree (UG/PG) from a recognized University Graduates with year of passing out (YOP) is between 2012-2022 English knowledge is a must Good problem solving and analytical skills Highly passionate, energetic and hardworking Flexible schedule Day shift Flexible shift",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9b117a31&cb=1664696798371&jobListingId=1008164667709&cpc=9908D8D4413DBB8A&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-c39930308d723f53--6NYlbfkN0ChgDlOsPEKmSf1iDCPjjJ1fHLmph5jM-hv9I-o0Zov7x-DT7jhg8ePJLNuenrIB7pUMn9gp9cBlWf4zBfWOkLdrsETXvb9hNHNWuJYFpPygRrgZkLV2SVsrNJc6Eu2HAn9I_IvnIa_xiC67ARVSFwK6IQDLeUi_Sm0mp_Qq-ItLgXwt2gmOTUzaLN0fZTGMc3yThiNSTx7GFLAEsxwnvVjfV93i-NWUca6JV7giwrBOaeMD3jMv4rW1RzfDYTcRSz-YbdsrAOdqvXHwOsBFoBKtPxApwvG5CSG4x7KXfzgFOl4aporOA7-iiEsajFz3v8Wln6t77O12oYp5B6Gw9JMSLm-6BGRTuJ5vHKVlkCLFz6p-GzPFMRt7rC-aCCR-mozl9A-R3ik0yBH6_IulbMVN2HMxdBDshHaE9ZiaqEeLwvwCQQpE4AmHqnNmydtNDuiZb5QTlNedXMIyFd24xutT0qK8_4F0L-YnGRVqJY0JrHNZOnCsudU7W7Q-8ckUVOaWyRSoAsfycVZtxHMAwR3DP7CkaEpNf10pSWqChEHnTM8jvad3eX_2_41tmJh5X8%3D
COGNITIVECLOUDS SOFTWARE PRIVATE LIMITED,NA,Java Developer,Bangalore,"At least 1 year of experience with Java Development Good with OOPS, OOAD knowledge Good with programming skills Knowledge on databases (e.g. MySQL) Good Knowledge on REST APIs Write well designed, testable, efficient code. Day shift Monday to Friday Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required) If offered, how soon can you join? Java: 1 year (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4ede8e97&cb=1664696798370&jobListingId=1008118315661&cpc=9908D8D4413DBB8A&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-89b149501ccf419a--6NYlbfkN0CviQM_bC1dXdMQsQMJAoqV_ywuSy8uhc0R6ydfGHKulVw7_Wut9E8k72z-W3pU_XdE2xtciGPYHUT1H7RrctRROl4zC0iIZAN2-tJLuusAXO7stXrSyps1EnbSswLex1yIQiu5v7l350o3ereUChMjjt8g_ITn9n_SQ_RAqFm0HzXbnd8l7NT2RGwrld42l89HndgJYXyf2XG-s8uEuTsh_M0mF9FPocCYgcDC5NSaG9qtUQtHan6EDYjBOCwcMaZt22B0dSu414tb_yFlaEfi0ypPymqRXHppSAoCqalBzRyFC25HND1JKUYfM1abOouVCAy9_vG8HoAEVQQ83UcedyYn2KaVunyE3F3Eiez4w-AXjk7JKOIyfRef3hsWObalSlFXPUn-TKMIo3pF3mS7Zs3wpxmC9xPVP6jFJBdD7eFMk2-aKPEhlucR9cCsHNIh7oEIf0QRNyXH02o-A_UzBorfGIUhO4OCqqMs-7ILmTMazSO-ysjy
Intuit,4.5,Software Engineer 2 - Frontend,Bangalore,"Overview
Our formula for innovation begins with agile, cross-functional teams that welcome diverse perspectives and embrace collaboration. Inspirational working environments help spark fresh ideas, with state-of-the-art technology and creative workspaces that allow our team to decide how they want to work. And our shared commitment to make a meaningful impact for our customers helps us push the boundaries of technology to uncover new possibilities. If you have a commitment to excellence and a passion for innovation, come join our team.
What you'll bring
How you will leadShow more ",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&cs=1_08efb718&cb=1664696798372&jobListingId=1008159681637&cpc=8795CF9063CD573D&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-d1958fe94b45d918--6NYlbfkN0BKYl3zWsktiTMfhnn8eMRsNrNhPXFqHgxANdB9sZgO2kr3SSER2lZNJcRl7S-J_mapkkQgKpRLjXbGSii09YcA5j0-NFJt4BYagy0-631J9TTByp3fp8D-SW_6ASQ3gF7-5UkT_64Bpe5MRwOZpmejNEsQo3XSIbVfD_ejFR_hxTAhaRVI050EkrTCH88V-884m3horbJP7eD9bTcH6GI2pBtEqpjXGI7GpRNWwOHyVdXK3yO7_W99R_Nkai_aKKE7MAT8VJw3inWkvU5mSy5GBmD8Ydytb2M_l2XL2TcC3gJq_GNH4KCT9DTo93MauMSthWQYBKM4xZ_HlBrJA_SQNR92L6q-aWmHLZScntOlW9PgWxkuWnVU4VXRL4dyX5OcQWmm3r_VlMkK5c6ZwXZ3f8lCXdhhFrK1yl0G_c7x-Oz620PiqP6mAFlmWlbSBcp3uyg06waYJ4S3phV7HANJVVV7cbfOpBlxZAO_d0yhQNlxa9VI16Rgydqljnfklo7Jz0jnBe5qyF7nYgjNMy8G5vrWnoNBfft280DP_SsESE_GGi8fltq9LaAIf-VTarnOYAHVi3os_kSKkRN0C-M4Zcy0ZlZunFQ%3D
Cloudstaff,4.6,Senior Software Engineer | WFH,Remote,"Analyze and optimize application code and/or APIs for efficiency, scalability, and performance, ensure it meets industry standards, is valid, is properly structured, is secured, and is compatible with browsers, devices, or operating systems. Collaborate with other team members and business analysts and ensure the project is consistent with architectural standards and design. Involved throughout the application development lifecycle from design, development, and release. Work with the UI/UX designer and bridge the gap between graphical design and technical implementation. - Supervise a team and review team member performance. Supports and develops software engineers by providing advice, coaching, and educational opportunities. Document development procedures, specifications, designs, and phases Work From Home Morning Shift C# (Minimum 5 years) Javascript (Minimum of 3 years) Angular (Minimum of 3 years) Azure DevOps (Minimum of 2 years) TypeScript (Minimum of 2 years) Vue Js CI/CD Morning shift",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd47abfb&cb=1664696798373&jobListingId=1008169450640&cpc=654405A9B1E0A9F5&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-5078e82de5fff33a--6NYlbfkN0CQQqBaQlcAn2GiqR6lBglIS0esshPbe9JnqIpgzl2Ndl_EusFBUEx5WHFiKG-_s94Yrk2xSnsSPLDwJj47GAiH3qxXr1fvC6Zpnh6XpptPSfODCaGXjmT7GDnDRQP1aaRdLLOqMQj5Yc66_CIiixHyWklaeYYDEaiELnh6qzKBy5BqGgn3l6uufsLzrp0Fm7vzypopzqGkLU2fMQExLR5-M9-SN2-hAnU3yVfKKWbDEGsC_N2r6aQS7DtTgbUs25IiBvZrllMwU8jjOBEnl01e0OL3xirqjBLlyDeGvFg0yC1jpmp_3jRFZS5eMBWNI6Fwo7CBmLLzavVOPRu4T7zwD1RJShvS9zO5R-Knf0wmjGaEub4hlH8Mq4vk8xKdDVfYY6TVn9A9qXL_gOSpc2drG809oOvXkqitWvkS7c45c9fBFVHa0cyYUN5XE9q1gYD29yVtH1uFY6jS4OijHwks8VeWjvg71YUq8kpeWV_DtYQnaqbWlSIROPU_u9uYUFHw_U91fjrma5GViL6ZIr66
Google,4.5,"Software Engineer, Engineering Productivity",Bangalore,"
Bachelor's degree in Computer Science, related technical field, or equivalent practical experience. 5 years of coding experience in one or more of the following languages: C, C++, Java, or Python. Experience in computer science, data structures, algorithms and software design. 
Passion for automation and optimization, as well as to develop tools to help other Engineers.
 Lead and contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and infrastructure. Design and build tooling and infrastructure to help engineering teams measure and increase their velocity. Develop tools to understand, model, and replicate production traffic patterns in pre-production environments, including some cases in statistical modeling and machine learning techniques. Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design.
 Design and develop mobile tools and infrastructure that help us provide quality apps.
 Design and build advanced automated testing frameworks.
",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc100058&cb=1664696798373&jobListingId=1006837001991&cpc=8795CF9063CD573D&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-b996b9aee1a9708f--6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0Qap5MuimmHaZjIPXhaheLdOdwN-MutL0KEmh-YSpmPELj6tazuTibSgEtBxXIivzzE-A_Qzaufljjm2wuvb4cPm9v2J4czPHSx3aVhdnsI1CK46UtFNc27zGm59ZZMr2lacvY-jPCc5hHXo8Zcxe3lYE_BQp3TiVQdTTy3c11JqlaefQpGZiERizZS4wa39wmQG8fDCXp9zq_vfuzu9IL_81KqcmDEEIukufZ9TTHT6CeSODbi20NzhNZtK1j2CRxGuwdDRVnUaKhNyPjScF3n2RSTyhZWzPLBESauRNidA6cSjVxrJJ5Oo-gKBI4AMkN1Z1cUHoKuzQXwOk6UUooBxVwyY5d56ikVd2ad8e9bmRmVuPK6jG106Kykc2Sr9-SvPuq739I7i-8XcqgtY4RGMlB4PG8a2XS4xouRgkw1h0Y-Ox2gSPv2Nat0cSXxFR0q67-wCrH6BfAqqiDjovmerLbp7vlt4LyELMJ8JngXfN0PGKyzdi9TjkAO3TFxC-o2-qvx3md5udNN22XZzSQp3wEU99PK5CJ9Q1xvDYigvd0J3s63EQnFM3fM2Mo9Oy05HuFfsJPE6zJTe-bcshA--NxWqqjUFRrQ%3D%3D
Newprodata,NA,Software Engineer,Madurai,Monday to Friday,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_af8b1ecd&cb=1664696798371&jobListingId=1008159781004&cpc=2CAED5C921A5F994&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-8900d554d018956a--6NYlbfkN0AGPPlWHwVbzrMhQBqVv4Vy7ERfpfTa0DkO5NlDu6HaEWX69Dp4fu4tbqIkalzB6od0XAysbBbYWXrKmDhsbeh5Vztek8dCo6HQkf1PjKHVUGi-i1OuD3iNMX2fcsxC4AXMsb91eco9200Yf40yPuN4BPWWkboLjGNWofyodM2KFZjtaaPv-A_W2Sr31X16HUH9QE5ylDXVzyN5MDSRItXib9DWWgpojmd3KGCT3PFkiSBpbZAcTOL4tTQezizw_0N5ugJfBuX5BpUXPuOqCz3sa5L5kZiwPvA6eHuPq05gWMMG_DYycWQrrHbMvjOHW65w6Y4Zwu72e2B6Ayo1VEz86FBrkGGI9R3rn7G-a7aQxZnhpMPuj4qE7-umUAgr3zB2tFTcyPbIHp4Yytq3EIJzevsNVHxgtbsIE6kO4CLGA8e0Ezi9fMWDPbqlBdeJllKkhi3A5TgEnfMuKhu1EAPhKi59tZ60Wif1EgZX1qGsq3mlWvpb0qyE-BVs9ddTMus%3D
Cloudstaff,4.6,Mulesoft Developers,Remote,Expert-level knowledge of Mule ESB 3.x/4.x Hands-on experience in Building interfaces on the Mulesoft ESB platform Knowledge of administrative aspects of Mule ESB Work From Home India-based Morning shift,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_965f816d&cb=1664696798372&jobListingId=1008169448916&cpc=F41FEAB56D215062&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-5807a900b6a27243--6NYlbfkN0CQQqBaQlcAn2GiqR6lBglIS0esshPbe9JnqIpgzl2Ndl_EusFBUEx5WHFiKG-_s94Yrk2xSnsSPHOQXKygM7iRpz3Dd9TJy2_z1sNX0m5yrP8uu6rH25KI775iVIGBZeaOWMbz6YSl6BKvUCYoxSPfDyRUf7f_AShme5L0WUnlGS1bdm2xkat3bdxJz83i3dp-7-7iiW5NIBL9mRcSmekuLFDS_pQK0CNeQFxzaZ7VVOafwZNdJspZLP3N7L82F4rroiVNNV65O4xSPlN72Du9p8OMKeWqCTSNb0txyFaHK58kGFqPjodxq1dSJErfCZ0lQvydp22FbRXP_r0keA_xUygCn4qEwYBOFN-sMyNKCM2ssGz5I8vxj4pp-ynpkBZ4WXl1oelWoVivcuaNXarFfzKk8Pm74CKY-pq3vC-cZtzKHb7wUgbVT8M21cxjBhbba0n1VAaltXyqNSbuvsN51GIgY4zec9mtdAB178UPFHgv-kDy7W893_GKV5xcwjOpG4ToapfScg%3D%3D
Impetus Infotech India Pvt. Ltd.,4.2,AWS Cloud Data Engineers,Bangalore,"Hands-on experience with AWS services from Compute, Storage, Networking, and Security components. Having deep knowledge of VPC configuring, Private/Public Subnet, NAT Gateway, ELB with EC2, Lambda, S3, EBS, EFS, Glacier, RDS, SQS, SNS Cloudwatch, and Cloud Formation. Hands-on experience with using Cloud Platform provided Big Data technologies like EC2, EMR, RedShift, S3, Kinesis. Hands-on experience in programming languages like Java or Python or Pyspark or Scala or SQL/PLSQL. Having a deep understanding of IAM Roles, Policies, Users, and Groups. Hands-on experience in setting up Cloud platforms for use-cases. knowledge in Big Data technologies – Hadoop, Pig, Hive, and Spark. Experience in migrating a workload from on-premise to cloud and cloud to cloud migrations. Excellent communication, presentation, and interpersonal skills are a must. Flexible shift How many years of work experience do you have using Amazon Web Services (AWS)?",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_981c18bd&cb=1664696798371&jobListingId=1007334118316&cpc=2CAED5C921A5F994&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-54ae5b809131fd35--6NYlbfkN0AGEVbZ2_EvqOrNbUUcdLvwezuoK2AEzvuLfn6UI04WCipH-fDPeMV5RkEJh0bkYz4K0UUas3pQOOY3dLcSwtoy_lNLp3xqLjXGPBp_qgTmwFNAJMlJDSda4wLwcdNBcQhWo0-wy4hYTymhsLG0VuHHlO0hgKlYPgOWl0rzm74Qi6DeXXXmWX6r_TLBF-_4felzS8J8NkITJxkGu6BrNy_ehocSCl5Oxycc5Lr3s6Svm8m569MSQj5vrmaL-84GxkdvW3POe1x48FOJa9GGm8jVI5jHk9yC0KtlEqMwGEB_qLLLx8kT4wSWjn9r2cZ68KbKUtBJqYgn-4voLPIPVSnH5AWmtTxBHWqE-asYd-AHcno2pSoh4PGzmjZLVkW9O9uIiA25ZzUbNgo8B6_CKlYjSF9TfW-yXEuy7UftbvhS13rP2EzY__5C5g432GwWxvoyuP62Hh-i4x73vriT-xTLNlnq-Xka8CslFk6ld87NrFEQ909MKcfxjVJI1oJUfoGxU1N7QbAzJw%3D%3D
Google,4.5,"Software Engineer, Google Cloud",Bangalore,"
Bachelor’s degree or equivalent practical experience. 1 year of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript). 
Master's degree or PhD in Computer Science or related technical field. Experience developing accessible technologies. Write product or system development code. Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies. Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency). Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback. Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1110586&s=58&guid=0000018397a949f9b53d6265e2ed979f&src=GD_JOB_AD&t=SR&vt=w&cs=1_c82f64a6&cb=1664696798374&jobListingId=1008171558622&cpc=451933188B21919D&jrtk=3-0-1gebqiigqkhrb801-1gebqiih9ihnu800-8d638ed281b047e5--6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0Qap5MuimmHaZjIPXhaheLdNxxFko7RVYekOV-XlPa1u3QOokYaOx0dZfBW-UDiFF2DpjRqh2zvQ9Xrcw3MT3IPBZ0UyAG1YQ4mCpMsNxNa1xZTvcgW3G9KeV5tKI3aCmDCJfBfmOESdrfqHGR1XQw12ExMwlVxVMpVNmMwYfvl6Ovo1unv6k3aU2NW4vnd-s-MQOYyuJDV28wusMUnusFxYkZwRfVjC3N9NriM0ZdYs3oaNLJhDL_7n7LSt6hGIlJ0LqihAiFhN5WzhPSpQLc-j0r-SjUxt-Oaifph1L5ATBKpx83jkZQ4k1GzxYYSOotZPjf0PMqBG2YjMAl4UhNmE1mS_MMCi5WRZw-p_Q8MIwbdOl80jUYC8WtpQ8SXcZceNwl9iSBore6yyfeyki1Jg3DQn9KRTAW83Rk3BUDgMdwvq9A_7bbfCJFMSLqPdLgxI1_3xWyBDmUaDFSDeZoO6iF2AtWSUzG2F592UTyyNAQO4J4uRlvsVVGxF2GpG_LYA9JFZSdsPQglRvPJgU9JrWbyqzXDlKcQgPndeRnWTjzv146EPVubHNtnTAsavmrOfKetycvDRaAdlSxGa-FTSLARpqVyE45w%3D%3D
